               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067675,            0.048234,            0.019084,             0.53149,             0.42828,             0.47314,             0.22708,            0.053069,            0.032863,           0.0093881,            0.070065,           0.0033261,           0.0033261
                   1,            0.054561,            0.044642,           0.0084261,             0.64151,             0.45596,             0.51312,             0.27262,            0.046523,            0.034619,           0.0074374,            0.039999,           0.0065935,           0.0065935
                   2,            0.051542,            0.046605,           0.0084773,             0.65725,             0.45204,             0.49602,             0.25012,            0.048273,            0.038877,           0.0084913,           0.0098674,           0.0097949,           0.0097949
                   3,            0.050789,            0.048925,           0.0089975,             0.68152,             0.41824,             0.48998,             0.25691,            0.046982,            0.036401,           0.0088145,            0.009703,            0.009703,            0.009703
                   4,            0.048982,            0.048073,           0.0081451,             0.71723,              0.4538,             0.53455,             0.28721,            0.044583,            0.035392,           0.0060503,            0.009703,            0.009703,            0.009703
                   5,            0.048086,             0.04743,           0.0077004,             0.68223,             0.51015,             0.56726,             0.30304,            0.043643,            0.034956,           0.0069657,            0.009604,            0.009604,            0.009604
                   6,            0.047604,            0.046989,           0.0074915,             0.66701,             0.53404,             0.58382,             0.31597,            0.043061,            0.034504,           0.0054709,            0.009505,            0.009505,            0.009505
                   7,            0.047123,            0.046915,           0.0072892,             0.66821,             0.53879,              0.5928,             0.32642,            0.042611,              0.0342,            0.005416,            0.009406,            0.009406,            0.009406
                   8,            0.046811,            0.046265,           0.0070374,             0.67737,             0.53738,             0.59631,             0.33089,             0.04244,            0.033592,           0.0052385,            0.009307,            0.009307,            0.009307
                   9,            0.046362,             0.04603,           0.0068376,              0.7133,             0.56389,             0.62057,             0.34008,            0.041705,            0.033337,           0.0048757,            0.009208,            0.009208,            0.009208
                  10,            0.046282,            0.046032,           0.0066828,              0.6703,             0.54697,             0.60322,             0.34115,            0.041487,            0.033171,           0.0059245,            0.009109,            0.009109,            0.009109
                  11,            0.046006,            0.045863,           0.0066474,             0.69166,             0.55213,             0.61417,             0.34435,            0.041216,            0.033064,           0.0050438,             0.00901,             0.00901,             0.00901
                  12,            0.045821,            0.045758,           0.0064954,             0.70289,             0.55582,             0.62722,             0.35447,            0.040945,            0.032855,           0.0047437,            0.008911,            0.008911,            0.008911
                  13,            0.045528,            0.045265,            0.006417,             0.74808,             0.53774,              0.6256,             0.34912,            0.040993,            0.032837,           0.0047753,            0.008812,            0.008812,            0.008812
                  14,            0.045492,            0.045531,           0.0063894,             0.75963,             0.57483,             0.65136,             0.36386,            0.040647,            0.032603,            0.004434,            0.008713,            0.008713,            0.008713
                  15,             0.04532,            0.045411,           0.0063296,             0.73036,             0.59577,             0.66193,             0.37013,            0.040257,              0.0322,           0.0044202,            0.008614,            0.008614,            0.008614
                  16,            0.045112,            0.045033,           0.0061729,              0.7554,              0.5847,             0.66013,             0.36767,            0.040039,            0.031982,            0.004421,            0.008515,            0.008515,            0.008515
